"DETECTION_METHOD","Sum(FINES)","Sum(ARRESTS)","Sum(CHARGES)","Arrests_per_1000_Fines","Charges_per_Arrest"
"Average speed camera",0.0007367498743546461,0,0,0,
"Fixed camera",0.056371810354755254,0,0,0,
"Fixed or mobile camera",1,0,0,0,
"Mobile camera",0.059397299979086396,0,0,0,
"Not applicable",0.0010089502415992781,0.9251541569211141,0.9171509268577737,0.0019115401935264206,0.14112437262854785
"Other",0.00000005917828116051134,0.008717839676802041,0.004739798071616401,0.18426966292134833,0
"Police issued",0.12009762680495238,0.9999999999999999,1,0.000017358871635400005,0.14385149824887175
"Red light camera",0.014181562201679819,0,0,0,
"Unknown",0,0.018924091005741016,0.07031782618576113,1,1
